Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Any_Disability,Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned,Agriculture_Income,Urban_Rural,First_Generation_Learner,Reimbursement_%
648663,4,Single Mother,Own,18230,Govt Job,Self-employed,20855,70714,No,2,1095852,Hostel,26372,5.59,51458,Rural,yes,0
703550,4,Both Alive,Rent,17862,Business,Temporary,191444,95558,Yes,1,1617387,DayScholar,39080,9.04,457481,Rural,no,100
136330,4,Both Alive,Own,43355,Govt Job,Temporary,25095,15240,Yes,0,1255703,DayScholar,40706,1.11,449998,Urban,no,100
480754,4,Single Father,Own,31259,Agriculture,Contract,169796,91756,No,4,326759,DayScholar,42722,1.77,317559,Urban,yes,50
301648,1,Single Mother,Rent,99075,Foreign,Contract,49241,2716,Yes,0,499858,Hostel,29048,4.29,222159,Rural,yes,100
688519,3,Single Mother,Rent,87445,Foreign,Contract,103119,16574,Yes,1,1561832,DayScholar,19669,1.27,316304,Rural,yes,100
13986,4,Both Alive,Own,30795,Business,Self-employed,52003,83255,No,1,20514,DayScholar,9777,5.66,316543,Rural,yes,100
586146,3,Single Mother,Own,8770,Govt Job,Permanent,199451,73717,Yes,2,57456,Hostel,36331,3.98,287442,Urban,no,100
129312,3,Single Mother,Own,11093,Private Job,Permanent,94837,44066,No,3,17233,DayScholar,20968,2.85,231946,Rural,yes,50
12666,1,Single Father,Rent,46571,Unemployed,Contract,94283,61826,Yes,0,1321822,DayScholar,37809,1.7,153263,Urban,no,100
300804,4,Single Mother,Own,193,Unemployed,Contract,147044,20213,No,2,1124709,DayScholar,11292,3.35,450180,Urban,yes,50
134633,2,Single Father,Own,17569,Foreign,Contract,123805,71916,No,4,843147,Hostel,40794,6.08,164164,Rural,no,50
288998,1,Both Alive,Own,11190,Business,Temporary,93846,66151,Yes,3,1536985,Hostel,13923,5.76,89407,Rural,no,100
850937,2,Single Mother,Rent,62824,Business,Contract,22927,50906,Yes,2,906977,Hostel,27703,1.64,206329,Urban,no,100
628776,3,Both Alive,Rent,42752,Agriculture,Temporary,120589,463,No,0,638373,DayScholar,18657,1.25,497165,Urban,no,50
707611,3,Both Alive,Own,32327,Daily Wage,Permanent,115657,31973,No,1,643389,Hostel,3629,0.27,62513,Urban,yes,50
284806,1,Single Mother,Own,42070,Daily Wage,Self-employed,66630,74694,No,4,1458048,DayScholar,2114,0.12,313241,Urban,yes,50
794824,1,Single Mother,Rent,85925,Foreign,Self-employed,104428,20651,Yes,0,1167260,DayScholar,34445,8.8,423495,Rural,yes,100
30535,2,Both Alive,Rent,40197,Unemployed,Self-employed,122035,68694,Yes,3,1385520,DayScholar,35862,0.45,145476,Urban,no,100
996107,4,Single Mother,Rent,2261,Agriculture,Self-employed,183419,20008,Yes,3,1580692,Hostel,25574,7.31,463238,Rural,yes,100
375713,2,Single Father,Rent,93905,Agriculture,Temporary,126244,70474,Yes,1,629225,Hostel,32349,8.72,35198,Rural,yes,100
838688,1,Single Father,Rent,26512,Agriculture,Temporary,69518,38185,No,1,1624412,DayScholar,22257,0.98,225295,Rural,yes,0
351279,2,Single Mother,Rent,6716,Foreign,Contract,176355,87924,No,4,1267848,DayScholar,35052,4.36,312141,Urban,no,50
913910,1,Both Alive,Rent,86795,Daily Wage,Temporary,81326,74417,No,4,1494159,Hostel,37820,9.62,471908,Urban,no,0
821654,2,Single Mother,Rent,28933,Unemployed,Contract,143277,71139,No,1,1973853,Hostel,17973,8.34,393783,Rural,no,50
601661,1,Single Mother,Rent,4378,Agriculture,Contract,120243,34980,Yes,1,1696679,Hostel,25737,4.9,454248,Rural,yes,100
997079,1,Both Alive,Own,40583,Unemployed,Self-employed,12748,22504,No,3,1279570,DayScholar,12047,7.63,264323,Rural,yes,0
647972,1,Both Alive,Own,85371,Govt Job,Temporary,152169,54970,No,1,997886,Hostel,22113,8.33,2019,Rural,yes,50
489570,4,Single Father,Own,29033,Business,Temporary,134164,16766,Yes,2,137602,Hostel,694,3.48,81455,Urban,no,100
456551,2,Both Alive,Rent,24000,Business,Contract,53311,93922,Yes,0,1709134,Hostel,15588,8.92,216311,Rural,yes,100
273109,2,Single Father,Own,75868,Unemployed,Contract,22692,11695,No,1,1971328,DayScholar,45823,4.7,149776,Urban,no,50
24538,2,Both Alive,Rent,42604,Private Job,Permanent,124954,17796,Yes,4,822002,Hostel,48848,5.28,149102,Urban,no,100
894498,1,Single Mother,Rent,68336,Private Job,Permanent,154934,42543,No,2,1482047,DayScholar,20067,10.0,389027,Urban,no,50
201664,2,Single Father,Own,95074,Foreign,Contract,130035,14559,Yes,4,1604046,DayScholar,6704,8.43,331589,Urban,no,100
491234,2,Single Father,Rent,95655,Foreign,Permanent,79507,33139,Yes,2,1360093,DayScholar,40136,3.62,335695,Rural,yes,100
899684,1,Single Father,Own,73869,Business,Permanent,80152,8802,No,1,1363739,Hostel,1971,0.1,3420,Urban,yes,0
139182,3,Single Mother,Own,5410,Govt Job,Contract,4926,73843,Yes,0,203691,Hostel,47361,6.26,322019,Rural,no,100
472525,1,Single Mother,Own,83375,Daily Wage,Contract,3969,40205,No,4,288187,Hostel,40823,7.04,178725,Urban,yes,50
158338,2,Single Mother,Rent,56044,Daily Wage,Temporary,35733,98750,Yes,2,1497324,DayScholar,11441,6.51,16740,Rural,no,100
184064,1,Single Mother,Own,63315,Foreign,Contract,69855,34159,Yes,3,242362,Hostel,31476,9.68,327407,Rural,yes,100
214020,3,Single Mother,Rent,96055,Govt Job,Contract,41743,11516,Yes,1,207008,DayScholar,14677,8.63,105789,Rural,yes,100
623094,1,Single Father,Own,71344,Foreign,Self-employed,130193,50492,Yes,0,291383,Hostel,27818,4.49,489080,Rural,no,100
924414,2,Single Mother,Own,6796,Daily Wage,Temporary,170948,29086,Yes,1,1200064,Hostel,1868,0.63,457775,Rural,no,100
897421,3,Single Father,Own,86716,Unemployed,Temporary,107445,30480,No,3,1717348,Hostel,18055,4.76,19465,Urban,no,50
615270,4,Single Mother,Rent,54245,Foreign,Temporary,20323,52091,Yes,0,878408,Hostel,1728,6.89,444648,Rural,no,100
645914,2,Both Alive,Rent,43056,Agriculture,Self-employed,16428,47766,No,3,558694,DayScholar,7632,6.08,4131,Urban,yes,0
119176,3,Single Father,Rent,17709,Unemployed,Contract,34578,38737,Yes,1,1322595,DayScholar,12043,5.38,10652,Rural,no,100
917710,3,Both Alive,Own,58557,Foreign,Temporary,86486,9265,No,2,1571023,DayScholar,6403,4.69,458189,Urban,yes,0
218126,4,Single Father,Own,17543,Business,Temporary,64140,70990,Yes,1,505288,DayScholar,15732,2.94,218115,Urban,no,100
218969,1,Both Alive,Rent,37418,Foreign,Permanent,107325,91717,No,1,1457544,Hostel,18526,2.77,440363,Urban,yes,50
122409,1,Single Mother,Rent,94611,Business,Temporary,83829,15386,No,1,489969,DayScholar,9340,5.0,309815,Rural,no,50
547707,2,Single Mother,Rent,96038,Govt Job,Contract,6364,37425,Yes,4,219097,DayScholar,38952,1.61,245289,Urban,yes,100
968140,4,Single Mother,Rent,16724,Daily Wage,Contract,128867,43254,Yes,3,404569,DayScholar,22394,3.41,89342,Rural,yes,100
253618,1,Single Father,Rent,3828,Unemployed,Permanent,166421,89863,Yes,3,692346,Hostel,33021,3.24,281315,Rural,yes,100
769598,4,Both Alive,Rent,17087,Unemployed,Temporary,131763,53634,No,3,1014411,DayScholar,4102,5.87,217201,Urban,no,50
50015,1,Single Mother,Own,12605,Private Job,Temporary,95598,86717,No,4,1032405,DayScholar,36310,0.67,259820,Urban,no,100
772838,3,Both Alive,Rent,31337,Private Job,Temporary,197539,47662,Yes,2,811123,Hostel,19159,8.3,186764,Rural,no,100
122096,1,Both Alive,Own,5482,Daily Wage,Self-employed,176968,86988,Yes,1,210919,Hostel,6212,5.62,58541,Rural,no,100
631347,4,Single Mother,Own,65333,Private Job,Temporary,57062,99287,No,2,844507,DayScholar,31824,6.71,9470,Rural,yes,0
185340,3,Single Mother,Rent,92541,Unemployed,Contract,144933,87527,No,4,1069370,DayScholar,37405,7.03,192416,Rural,yes,50
110687,3,Both Alive,Rent,88296,Foreign,Contract,88302,75452,Yes,3,209542,Hostel,11525,2.91,44308,Rural,yes,100
874371,3,Single Mother,Own,50952,Govt Job,Self-employed,63928,10143,No,1,1730342,DayScholar,28760,4.7,443855,Rural,no,0
411357,4,Single Mother,Rent,5463,Govt Job,Self-employed,41347,91391,Yes,0,1396650,Hostel,44239,9.56,414542,Urban,yes,100
735716,2,Single Mother,Rent,70448,Daily Wage,Temporary,3121,15581,Yes,0,1829833,DayScholar,45268,7.67,135669,Rural,yes,100
105878,2,Single Father,Own,4648,Private Job,Permanent,83793,67443,Yes,2,1100284,DayScholar,27457,9.7,102840,Rural,no,100
727270,2,Both Alive,Own,33623,Foreign,Self-employed,28164,29424,No,3,1960500,DayScholar,48015,7.46,161860,Urban,no,0
973548,4,Both Alive,Own,59156,Govt Job,Self-employed,25491,88844,No,0,903061,DayScholar,10532,1.76,458236,Urban,yes,0
198286,3,Single Father,Rent,35634,Govt Job,Temporary,59222,41984,No,2,1996880,DayScholar,13518,0.65,49477,Urban,no,50
