Annual_Income,Earning_Members,Parent_Type,House_Type,Parent_Occupation,Land_Owned_Acres,Children_Studying,Any_Disability,Urban_Rural,First_Generation_Learner,Rent_Amount,Job_Type,Loan_Burden,Medical_Expenditure,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Agriculture_Income,Reimbursement_%
535000,1,Both Alive,Own,Unemployed,0.39,1,No,Rural,No,0,None,100000,13186,54009,DayScholar,1865,0,75.41
759000,3,Both Alive,Rent,Daily Wage,1.08,1,No,Rural,No,7898,Daily Income,150000,3062,30094,Hostel,0,0,65.79
249000,1,Single Parent,Rent,Business,1.06,1,No,Rural,No,3524,Self Employed,50000,3352,136988,Hostel,0,0,100.0
746000,2,Both Alive,Rent,Government Job,0.29,1,No,Rural,Yes,5931,Salaried,100000,7141,110636,DayScholar,937,0,76.26
622000,3,Both Alive,Own,Unemployed,1.05,0,No,Urban,Yes,0,None,0,1441,82221,DayScholar,1951,0,54.37
626000,3,Both Alive,Own,Government Job,0.24,3,No,Rural,Yes,0,Salaried,200000,13315,128453,DayScholar,925,0,90.67
303000,1,Both Alive,Own,Daily Wage,0.13,1,No,Urban,No,0,Daily Income,150000,7041,47430,DayScholar,1467,0,93.36
564000,2,Both Alive,Own,Business,1.21,3,No,Urban,No,0,Self Employed,100000,10466,65571,DayScholar,1904,0,67.62
190000,1,Both Alive,Rent,Government Job,0.12,1,No,Rural,Yes,2013,Salaried,50000,7930,84486,DayScholar,985,0,100.0
544000,3,Single Parent,Own,Government Job,5.78,2,No,Urban,No,0,Salaried,200000,1921,120510,DayScholar,2255,0,38.12
706000,1,Both Alive,Own,Agriculture,0.2,1,No,Rural,Yes,0,Daily Income,0,6265,126665,DayScholar,3756,168579,73.9
80000,1,Both Alive,Own,Government Job,0.9,1,No,Rural,No,0,Salaried,50000,14338,142770,DayScholar,3007,0,96.99
226000,2,Both Alive,Rent,Agriculture,0.53,1,No,Rural,No,3233,Daily Income,50000,935,92294,Hostel,0,146691,100.0
333000,2,Both Alive,Rent,Business,0.14,0,No,Rural,No,4870,Self Employed,200000,1339,50860,Hostel,0,0,100.0
447000,3,Both Alive,Own,Unemployed,0.03,2,No,Rural,No,0,None,0,4501,102812,DayScholar,2079,0,79.83
660000,1,Both Alive,Own,Unemployed,0.97,1,No,Urban,Yes,0,None,50000,13147,96087,DayScholar,3586,0,59.55
375000,1,Both Alive,Own,Business,1.64,1,No,Rural,Yes,0,Self Employed,150000,5748,143784,DayScholar,3295,0,84.09
73000,1,Both Alive,Own,Business,1.85,3,No,Rural,No,0,Self Employed,30000,5459,38486,Hostel,0,0,92.78
301000,3,Both Alive,Rent,Private Job,0.66,2,No,Rural,Yes,6263,Salaried,100000,11373,113063,Hostel,0,0,100.0
405000,3,Both Alive,Rent,Business,1.5,1,No,Rural,Yes,6189,Self Employed,200000,2150,79607,DayScholar,2856,0,95.38
624000,2,Single Parent,Own,Government Job,1.12,3,No,Rural,No,0,Salaried,0,6328,39745,Hostel,0,0,68.57
399000,2,Single Parent,Own,Unemployed,1.29,3,No,Urban,Yes,0,None,150000,9937,136664,Hostel,0,0,95.84
151000,2,Both Alive,Rent,Daily Wage,0.68,0,No,Rural,No,1755,Daily Income,0,2761,108533,Hostel,0,0,95.4
426000,1,Single Parent,Own,Unemployed,1.0,3,Yes,Rural,No,0,None,200000,9607,48330,DayScholar,2112,0,100.0
514000,1,Both Alive,Rent,Agriculture,1.64,1,No,Urban,No,6156,Daily Income,0,11331,70078,Hostel,0,171953,60.95
487000,2,Both Alive,Own,Unemployed,0.51,0,No,Rural,No,0,None,150000,6394,85332,DayScholar,3182,0,78.42
568000,1,Both Alive,Own,Private Job,1.64,0,No,Rural,No,0,Salaried,0,6778,134121,DayScholar,704,0,50.34
94000,2,Both Alive,Own,Business,0.9,1,No,Rural,No,0,Self Employed,50000,4389,84532,DayScholar,3287,0,96.05
265000,3,Both Alive,Own,Business,0.18,2,No,Urban,No,0,Self Employed,50000,7397,120365,DayScholar,1593,0,90.52
140000,2,Single Parent,Rent,Unemployed,0.02,3,No,Urban,Yes,4676,None,30000,13173,73336,Hostel,0,0,100.0
621000,3,Both Alive,Own,Daily Wage,0.45,0,No,Rural,No,0,Daily Income,100000,1826,38070,Hostel,0,0,66.09
447000,1,Both Alive,Own,Daily Wage,0.79,2,No,Urban,No,0,Daily Income,200000,6401,31320,Hostel,0,0,84.37
61000,2,Both Alive,Own,Private Job,1.83,1,No,Rural,Yes,0,Salaried,50000,3858,119043,DayScholar,3423,0,95.36
449000,1,Single Parent,Own,Agriculture,0.14,3,No,Rural,Yes,0,Daily Income,150000,2085,68921,Hostel,0,41199,100.0
625000,3,Both Alive,Own,Unemployed,1.61,3,No,Rural,No,0,None,100000,14000,36589,Hostel,0,0,63.72
165000,3,Both Alive,Own,Business,1.99,0,No,Rural,Yes,0,Self Employed,30000,12060,94409,DayScholar,634,0,82.29
536000,3,Both Alive,Rent,Unemployed,0.16,3,No,Rural,No,2113,None,0,6145,122995,Hostel,0,0,83.64
762000,1,Both Alive,Own,Private Job,1.91,3,No,Urban,No,0,Salaried,200000,888,45589,Hostel,0,0,55.59
461000,1,Orphan,Own,Government Job,4.76,3,No,Urban,Yes,0,Salaried,150000,3291,66375,DayScholar,3236,0,70.48
789000,1,Single Parent,Rent,Government Job,1.3,3,No,Rural,No,4616,Salaried,100000,3832,73085,DayScholar,3869,0,71.72
615000,1,Both Alive,Own,Private Job,1.54,1,No,Rural,Yes,0,Salaried,200000,1203,90840,Hostel,0,0,72.96
221000,3,Single Parent,Rent,Business,5.19,2,Yes,Rural,No,2312,Self Employed,200000,6334,73200,Hostel,0,0,100.0
261000,3,Both Alive,Own,Private Job,0.93,1,No,Rural,Yes,0,Salaried,150000,3320,128704,DayScholar,601,0,98.51
329000,2,Single Parent,Rent,Business,0.37,1,No,Rural,No,1830,Self Employed,150000,8553,56732,Hostel,0,0,100.0
330000,2,Both Alive,Rent,Daily Wage,1.82,0,No,Urban,Yes,3712,Daily Income,50000,5459,127047,DayScholar,3240,0,78.47
515000,1,Both Alive,Rent,Private Job,0.95,3,No,Urban,Yes,2716,Salaried,50000,1559,52426,Hostel,0,0,83.44
521000,3,Both Alive,Rent,Business,0.87,1,No,Urban,Yes,7140,Self Employed,200000,12866,60982,DayScholar,2131,0,89.66
786000,3,Both Alive,Own,Private Job,0.29,3,No,Rural,Yes,0,Salaried,50000,9990,89720,Hostel,0,0,67.64
311000,3,Both Alive,Rent,Private Job,1.41,1,No,Rural,Yes,5982,Salaried,100000,1801,46746,DayScholar,3717,0,94.62
761000,2,Both Alive,Own,Business,0.09,1,No,Rural,Yes,0,Self Employed,0,9365,58514,Hostel,0,0,61.27
355000,2,Both Alive,Own,Business,2.58,0,No,Rural,Yes,0,Self Employed,200000,11051,94889,DayScholar,1313,0,77.38
784000,3,Both Alive,Own,Agriculture,0.39,2,No,Rural,No,0,Daily Income,0,8196,33851,Hostel,0,197124,63.86
779000,3,Both Alive,Own,Private Job,0.14,2,No,Rural,No,0,Salaried,50000,4799,49796,Hostel,0,0,60.54
397000,3,Both Alive,Own,Government Job,0.58,1,No,Urban,No,0,Salaried,150000,13772,106034,DayScholar,3402,0,82.77
112000,2,Single Parent,Rent,Private Job,0.04,0,No,Rural,No,3875,Salaried,30000,6571,92798,DayScholar,2129,0,100.0
276000,3,Both Alive,Own,Private Job,1.15,3,No,Rural,Yes,0,Salaried,50000,4612,128388,DayScholar,3762,0,93.5
247000,3,Both Alive,Rent,Business,2.33,3,No,Urban,Yes,2740,Self Employed,100000,8381,92985,DayScholar,1526,0,92.09
439000,1,Both Alive,Rent,Private Job,1.82,1,No,Rural,Yes,1819,Salaried,200000,13263,64592,DayScholar,3489,0,90.04
552000,1,Single Parent,Own,Unemployed,0.14,2,No,Rural,No,0,None,200000,12274,74845,DayScholar,1520,0,95.57
100000,2,Both Alive,Own,Private Job,0.13,0,No,Urban,No,0,Salaried,0,9708,45930,DayScholar,2724,0,92.07
216000,3,Both Alive,Own,Unemployed,1.68,2,No,Rural,Yes,0,None,200000,8901,140853,DayScholar,1780,0,100.0
74000,3,Single Parent,Own,Government Job,2.58,3,No,Rural,Yes,0,Salaried,100000,998,138417,Hostel,0,0,100.0
124000,1,Single Parent,Own,Business,0.62,2,No,Urban,Yes,0,Self Employed,30000,9120,143436,DayScholar,3024,0,100.0
580000,2,Both Alive,Own,Private Job,0.69,3,No,Rural,No,0,Salaried,100000,7745,137126,DayScholar,2945,0,75.53
403000,1,Both Alive,Own,Unemployed,0.38,0,No,Urban,No,0,None,100000,12331,51159,Hostel,0,0,77.33
188000,1,Both Alive,Rent,Unemployed,2.25,0,No,Rural,Yes,4618,None,0,11843,125072,DayScholar,719,0,83.9
707000,1,Single Parent,Rent,Unemployed,1.04,1,No,Urban,Yes,6416,None,200000,14117,119788,Hostel,0,0,83.6
531000,1,Both Alive,Own,Daily Wage,0.34,1,No,Rural,No,0,Daily Income,50000,2605,54003,DayScholar,672,0,72.2
122000,3,Both Alive,Rent,Agriculture,0.35,2,No,Rural,No,3293,Daily Income,100000,10245,135722,Hostel,0,53427,100.0
198000,3,Single Parent,Own,Government Job,2.22,0,No,Urban,Yes,0,Salaried,100000,5827,65139,Hostel,0,0,87.42
558000,1,Both Alive,Own,Private Job,0.01,0,No,Rural,No,0,Salaried,150000,6130,135372,DayScholar,1001,0,78.46
652000,2,Both Alive,Rent,Daily Wage,0.39,1,No,Rural,Yes,6057,Daily Income,50000,3706,82452,DayScholar,2312,0,77.64
451000,2,Both Alive,Own,Private Job,0.81,3,No,Rural,No,0,Salaried,100000,14655,52205,DayScholar,3308,0,83.01
734000,2,Both Alive,Own,Private Job,0.16,2,No,Rural,No,0,Salaried,100000,7637,126059,DayScholar,3831,0,67.31
478000,2,Both Alive,Rent,Business,0.1,2,No,Rural,Yes,7271,Self Employed,0,3069,86955,DayScholar,2678,0,91.09
348000,1,Both Alive,Rent,Business,1.69,1,No,Urban,Yes,3957,Self Employed,50000,3128,140163,Hostel,0,0,81.51
438000,3,Both Alive,Rent,Business,2.25,0,No,Urban,No,7670,Self Employed,50000,10568,37464,DayScholar,1297,0,61.14
549000,2,Both Alive,Rent,Daily Wage,1.74,1,No,Rural,Yes,4600,Daily Income,0,13686,112646,DayScholar,3346,0,67.65
290000,1,Orphan,Rent,Private Job,2.29,1,No,Rural,No,5866,Salaried,150000,13894,141852,DayScholar,1429,0,100.0
100000,2,Both Alive,Own,Agriculture,0.81,1,No,Rural,No,0,Daily Income,50000,7264,102657,Hostel,0,130949,100.0
87000,2,Single Parent,Own,Government Job,1.67,1,No,Rural,No,0,Salaried,100000,1567,39840,DayScholar,3591,0,100.0
194000,1,Both Alive,Own,Business,0.48,3,No,Rural,Yes,0,Self Employed,50000,2006,132616,Hostel,0,0,100.0
260000,3,Single Parent,Own,Business,1.1,3,No,Rural,Yes,0,Self Employed,100000,3513,70768,DayScholar,1833,0,100.0
92000,3,Both Alive,Own,Private Job,4.5,0,No,Urban,No,0,Salaried,0,10359,39461,DayScholar,1774,0,50.78
107000,1,Both Alive,Own,Private Job,0.26,1,No,Urban,Yes,0,Salaried,10000,13280,50927,DayScholar,987,0,100.0
562000,3,Both Alive,Rent,Daily Wage,0.49,3,No,Rural,No,4318,Daily Income,150000,7142,119934,DayScholar,3953,0,90.6
466000,1,Single Parent,Rent,Daily Wage,0.65,0,No,Rural,No,3406,Daily Income,150000,13392,128622,Hostel,0,0,94.49
633000,1,Both Alive,Rent,Business,0.15,1,No,Rural,Yes,4111,Self Employed,0,4566,45329,DayScholar,3842,0,77.25
787000,1,Both Alive,Own,Private Job,0.08,2,No,Urban,No,0,Salaried,100000,1447,45791,DayScholar,2457,0,60.53
158000,3,Both Alive,Rent,Agriculture,1.77,3,No,Rural,Yes,4093,Daily Income,50000,4889,82627,Hostel,0,173256,100.0
743000,1,Single Parent,Own,Government Job,3.76,0,No,Rural,Yes,0,Salaried,0,8643,44372,DayScholar,1717,0,32.35
785000,2,Both Alive,Rent,Private Job,0.52,2,Yes,Urban,No,2488,Salaried,50000,1671,144239,Hostel,0,0,85.5
606000,3,Both Alive,Own,Private Job,0.09,1,No,Rural,No,0,Salaried,0,6614,122890,DayScholar,812,0,65.63
798000,3,Both Alive,Rent,Unemployed,0.07,1,No,Rural,Yes,7541,None,0,671,78469,DayScholar,578,0,66.99
672000,3,Single Parent,Own,Daily Wage,2.22,1,No,Rural,No,0,Daily Income,0,6182,139554,DayScholar,2727,0,48.83
521000,3,Both Alive,Rent,Government Job,0.62,3,No,Rural,Yes,6563,Salaried,150000,13318,117073,Hostel,0,0,98.1
702000,2,Both Alive,Rent,Business,0.39,0,No,Rural,Yes,7918,Self Employed,0,9835,148822,Hostel,0,0,67.34
64000,3,Both Alive,Own,Private Job,0.65,2,No,Urban,Yes,0,Salaried,100000,10551,64370,DayScholar,2237,0,100.0
277000,3,Both Alive,Own,Business,0.38,0,No,Urban,No,0,Self Employed,150000,6356,81408,DayScholar,513,0,89.7
562000,1,Both Alive,Rent,Private Job,0.67,3,No,Rural,Yes,5829,Salaried,50000,6709,120941,Hostel,0,0,86.97
457000,3,Both Alive,Own,Business,1.96,0,No,Rural,Yes,0,Self Employed,200000,10880,137351,Hostel,0,0,76.5
452000,2,Both Alive,Rent,Government Job,0.9,3,No,Urban,Yes,4225,Salaried,0,11185,53703,Hostel,0,0,84.17
266000,2,Both Alive,Rent,Daily Wage,1.19,1,Yes,Rural,No,6747,Daily Income,150000,4077,45234,DayScholar,1537,0,100.0
74000,2,Both Alive,Own,Government Job,0.45,2,No,Rural,Yes,0,Salaried,50000,8880,37532,DayScholar,2646,0,100.0
613000,2,Both Alive,Own,Unemployed,1.34,1,No,Rural,Yes,0,None,0,4576,135670,DayScholar,532,0,59.2
520000,3,Both Alive,Own,Agriculture,1.1,0,No,Urban,Yes,0,Daily Income,100000,657,65416,DayScholar,1959,78204,78.62
750000,3,Both Alive,Rent,Daily Wage,0.13,1,No,Rural,No,4166,Daily Income,100000,8277,102439,DayScholar,756,0,71.53
634000,2,Both Alive,Own,Government Job,0.85,2,No,Urban,No,0,Salaried,50000,3217,48242,DayScholar,533,0,59.44
300000,2,Both Alive,Own,Unemployed,0.3,1,No,Rural,Yes,0,None,0,10662,80254,Hostel,0,0,90.08
623000,3,Both Alive,Own,Agriculture,1.63,2,No,Rural,No,0,Daily Income,0,8937,109324,DayScholar,1783,175218,52.76
155000,2,Both Alive,Rent,Unemployed,0.56,2,No,Rural,Yes,2154,None,100000,11595,65249,DayScholar,3136,0,100.0
793000,1,Both Alive,Rent,Private Job,5.24,1,No,Urban,No,3942,Salaried,100000,3295,130124,DayScholar,2349,0,15.74
544000,2,Both Alive,Rent,Private Job,0.1,3,No,Urban,Yes,1610,Salaried,100000,7700,125049,DayScholar,3987,0,93.58
466000,2,Single Parent,Own,Business,1.52,0,No,Rural,Yes,0,Self Employed,0,8028,138575,DayScholar,2684,0,72.3
290000,1,Both Alive,Rent,Daily Wage,1.12,3,No,Rural,Yes,2262,Daily Income,50000,12516,115078,DayScholar,858,0,100.0
714000,1,Both Alive,Rent,Private Job,1.46,3,No,Rural,No,6899,Salaried,0,2877,62294,DayScholar,1253,0,59.3
230000,3,Both Alive,Rent,Unemployed,0.37,1,No,Rural,No,6952,None,50000,9541,89784,Hostel,0,0,100.0
600000,3,Both Alive,Rent,Daily Wage,0.68,0,Yes,Rural,Yes,4672,Daily Income,100000,2310,33684,DayScholar,3687,0,100.0
95000,1,Both Alive,Own,Private Job,1.59,0,No,Urban,No,0,Salaried,30000,5690,53795,DayScholar,903,0,80.8
584000,1,Both Alive,Own,Business,0.26,3,No,Urban,Yes,0,Self Employed,150000,5932,90301,Hostel,0,0,85.33
219000,3,Both Alive,Rent,Government Job,0.26,1,No,Urban,Yes,4004,Salaried,100000,12678,99187,DayScholar,1899,0,100.0
758000,2,Both Alive,Own,Business,0.8,0,No,Urban,Yes,0,Self Employed,50000,8395,40431,DayScholar,2797,0,51.63
302000,1,Both Alive,Rent,Agriculture,0.74,3,No,Rural,No,1597,Daily Income,0,2626,105667,Hostel,0,173330,100.0
145000,3,Both Alive,Rent,Private Job,0.33,0,No,Rural,No,6739,Salaried,100000,12956,119627,DayScholar,3501,0,100.0
637000,2,Single Parent,Own,Agriculture,0.35,1,No,Rural,Yes,0,Daily Income,200000,7453,120381,DayScholar,777,77300,100.0
741000,1,Both Alive,Rent,Agriculture,0.33,1,No,Urban,Yes,3339,Daily Income,50000,3530,120027,DayScholar,611,81915,78.26
616000,2,Single Parent,Own,Unemployed,1.48,1,No,Urban,Yes,0,None,0,6823,85372,Hostel,0,0,61.66
633000,3,Both Alive,Own,Daily Wage,1.06,0,No,Urban,Yes,0,Daily Income,150000,6247,100366,DayScholar,3293,0,65.4
705000,1,Both Alive,Rent,Unemployed,1.79,2,No,Urban,Yes,4119,None,50000,10999,124176,Hostel,0,0,59.7
87000,2,Both Alive,Rent,Private Job,3.71,0,No,Rural,Yes,7893,Salaried,50000,6105,149667,DayScholar,891,0,80.63
679000,1,Both Alive,Own,Agriculture,0.64,2,No,Rural,Yes,0,Daily Income,150000,6391,102870,DayScholar,1468,23760,86.34
615000,2,Single Parent,Own,Government Job,0.07,1,No,Urban,Yes,0,Salaried,0,3576,77387,DayScholar,2690,0,75.22
399000,3,Both Alive,Rent,Agriculture,0.05,3,No,Urban,Yes,4966,Daily Income,150000,2844,82927,Hostel,0,122715,100.0
390000,3,Single Parent,Rent,Government Job,0.35,2,No,Urban,Yes,7687,Salaried,150000,1119,39304,Hostel,0,0,100.0
699000,1,Both Alive,Rent,Unemployed,2.7,1,No,Urban,Yes,3406,None,150000,11594,143183,Hostel,0,0,56.29
565000,2,Single Parent,Own,Unemployed,0.74,1,No,Rural,No,0,None,0,2907,47032,Hostel,0,0,70.15
407000,1,Both Alive,Own,Daily Wage,0.32,2,No,Urban,Yes,0,Daily Income,150000,6760,121291,DayScholar,768,0,93.59
532000,1,Both Alive,Own,Agriculture,0.51,3,No,Rural,No,0,Daily Income,50000,13144,142889,DayScholar,3807,194953,86.51
290000,2,Both Alive,Rent,Business,0.91,1,No,Rural,Yes,7805,Self Employed,200000,3504,89486,DayScholar,3848,0,100.0
249000,2,Both Alive,Own,Unemployed,1.06,2,No,Rural,Yes,0,None,200000,4414,95552,DayScholar,3100,0,100.0
284000,2,Both Alive,Own,Unemployed,0.17,3,No,Rural,Yes,0,None,150000,11178,103844,Hostel,0,0,100.0
444000,3,Both Alive,Rent,Daily Wage,3.77,3,No,Rural,Yes,5727,Daily Income,200000,12094,59654,Hostel,0,0,77.04
436000,1,Single Parent,Own,Government Job,0.79,1,No,Urban,Yes,0,Salaried,200000,4096,69244,Hostel,0,0,96.1
342000,1,Both Alive,Rent,Daily Wage,0.15,0,No,Rural,No,3407,Daily Income,150000,10369,35942,DayScholar,1242,0,99.56
692000,3,Both Alive,Rent,Agriculture,2.24,0,No,Rural,Yes,3410,Daily Income,150000,13999,80697,DayScholar,585,164151,62.16
687000,2,Both Alive,Rent,Private Job,0.08,1,No,Urban,Yes,4021,Salaried,50000,4539,32693,Hostel,0,0,74.27
318000,3,Both Alive,Own,Private Job,2.38,3,No,Rural,No,0,Salaried,100000,1804,86751,Hostel,0,0,76.87
418000,3,Both Alive,Own,Government Job,5.67,1,No,Rural,Yes,0,Salaried,0,6130,111098,DayScholar,2739,0,30.79
769000,3,Both Alive,Rent,Unemployed,1.21,2,No,Rural,No,6728,None,150000,12785,148777,DayScholar,3864,0,66.87
515000,1,Both Alive,Rent,Government Job,1.47,0,No,Urban,Yes,2558,Salaried,150000,14277,36259,DayScholar,2545,0,77.36
470000,3,Both Alive,Rent,Unemployed,0.41,2,No,Urban,No,5038,None,200000,7782,149746,DayScholar,1554,0,94.47
708000,1,Both Alive,Own,Unemployed,2.84,1,No,Rural,Yes,0,None,50000,10655,143883,Hostel,0,0,42.44
377000,1,Both Alive,Rent,Private Job,0.75,1,No,Urban,Yes,3822,Salaried,200000,3807,137772,DayScholar,2654,0,100.0
736000,1,Both Alive,Rent,Government Job,1.32,3,No,Rural,No,1686,Salaried,150000,1861,147928,DayScholar,2394,0,71.03
284000,2,Both Alive,Rent,Daily Wage,2.58,3,No,Rural,Yes,2448,Daily Income,150000,7165,34942,Hostel,0,0,95.18
293000,1,Both Alive,Rent,Unemployed,3.7,3,Yes,Urban,Yes,3790,None,200000,4794,77419,DayScholar,775,0,100.0
743000,1,Both Alive,Rent,Business,1.79,2,No,Rural,No,5859,Self Employed,150000,2287,132092,DayScholar,1150,0,63.06
723000,2,Both Alive,Rent,Business,0.36,3,No,Rural,Yes,7593,Self Employed,100000,1573,86105,Hostel,0,0,83.13
433000,1,Single Parent,Own,Daily Wage,3.4,1,No,Urban,Yes,0,Daily Income,0,9857,95907,DayScholar,3103,0,55.51
731000,3,Both Alive,Own,Business,0.99,3,No,Rural,No,0,Self Employed,0,6402,57383,Hostel,0,0,54.66
667000,3,Single Parent,Own,Agriculture,2.67,0,No,Rural,Yes,0,Daily Income,0,4099,53404,Hostel,0,20527,47.86
531000,1,Both Alive,Own,Unemployed,1.13,3,No,Rural,No,0,None,100000,14325,102656,DayScholar,2413,0,74.59
292000,2,Both Alive,Own,Daily Wage,0.37,2,No,Rural,No,0,Daily Income,150000,11409,35702,Hostel,0,0,98.8
751000,3,Both Alive,Own,Government Job,0.46,0,No,Rural,Yes,0,Salaried,200000,11845,103883,DayScholar,1085,0,71.21
172000,2,Single Parent,Own,Unemployed,0.8,0,Yes,Rural,Yes,0,None,100000,12818,130965,DayScholar,3432,0,100.0
556000,2,Both Alive,Own,Daily Wage,1.56,0,No,Rural,Yes,0,Daily Income,150000,3555,86332,Hostel,0,0,69.76
501000,3,Single Parent,Rent,Private Job,0.38,2,No,Rural,Yes,1525,Salaried,100000,6976,69419,DayScholar,755,0,100.0
623000,2,Single Parent,Rent,Government Job,0.87,1,No,Rural,No,1674,Salaried,100000,1159,120576,DayScholar,3481,0,80.93
327000,3,Both Alive,Own,Private Job,0.42,3,No,Rural,Yes,0,Salaried,0,6820,133182,DayScholar,730,0,93.12
569000,2,Both Alive,Rent,Unemployed,1.69,0,No,Urban,Yes,2834,None,150000,7013,141395,DayScholar,1660,0,71.65
445000,3,Both Alive,Own,Government Job,0.63,0,No,Rural,No,0,Salaried,0,5142,132619,Hostel,0,0,68.23
446000,1,Both Alive,Own,Business,0.08,0,No,Rural,No,0,Self Employed,50000,11274,118078,DayScholar,2902,0,77.37
172000,3,Single Parent,Own,Daily Wage,0.18,1,No,Urban,Yes,0,Daily Income,10000,9821,138269,DayScholar,2147,0,100.0
