Annual_Income,Earning_Members,Parent_Type,House_Type,Rent_Amount,Parent_Occupation,Job_Type,Loan_Burden,Medical_Expenditure,Disability_Family,No_of_Children_Studying,Annual_College_Fee,Hostel_or_DayScholar,Transport_Cost,Land_Owned_Acres,Agriculture_Income,Urban_Rural,First_Generation_Learner
982630,1,Both Alive,Own,0,Agriculture,Self-employed,75243,10069,1,4,32186,DayScholar,1253,2.87,79322,Rural,yes
709227,2,Both Alive,Own,0,Business,Permanent,0,630,0,1,118325,DayScholar,3250,0.3,0,Rural,no
658798,1,Both Alive,Rent,3192,Other,Permanent,0,38065,1,2,30926,DayScholar,3044,3.26,0,Rural,yes
697479,2,Single Father,Rent,8578,Daily Wage,Self-employed,24255,38998,1,4,37239,DayScholar,3346,2.05,0,Urban,no
793510,4,Both Alive,Rent,2938,Other,Self-employed,76163,29719,0,3,50575,Hostel,0,2.81,0,Rural,no
898531,4,Single Mother,Own,0,Govt Job,Permanent,0,24324,1,4,148663,DayScholar,1010,2.09,0,Urban,yes
288211,1,Single Mother,Rent,4397,Business,Self-employed,0,27519,0,1,96407,DayScholar,2724,2.25,0,Rural,yes
432747,4,Single Mother,Rent,3256,Govt Job,Contract,0,2813,1,2,133432,Hostel,0,2.82,0,Rural,yes
707543,4,Both Alive,Own,0,Other,Self-employed,46338,49615,1,3,81464,DayScholar,1956,2.49,0,Urban,yes
821012,3,Single Father,Rent,5297,Business,Self-employed,143654,7167,1,2,90807,Hostel,0,0.84,0,Urban,no
934800,4,Single Father,Own,0,Business,Contract,66374,19283,0,4,132439,Hostel,0,2.51,0,Urban,no
152028,1,Single Father,Own,0,Govt Job,Permanent,0,1636,0,4,30451,Hostel,0,2.89,0,Rural,yes
825907,1,Single Mother,Rent,6245,Other,Permanent,55380,10477,1,3,32605,DayScholar,2098,2.08,0,Urban,no
165279,3,Single Mother,Own,0,Private Job,Contract,0,12203,1,3,34715,Hostel,0,3.64,0,Rural,no
701835,3,Both Alive,Own,0,Foreign,Self-employed,0,15412,0,1,21497,Hostel,0,2.43,0,Rural,no
174374,2,Both Alive,Rent,3953,Agriculture,Permanent,0,3282,1,2,25039,Hostel,0,1.44,16412,Rural,yes
421037,3,Single Father,Own,0,Foreign,Permanent,180409,65,0,2,86379,Hostel,0,2.41,0,Urban,no
626110,1,Both Alive,Rent,4606,Govt Job,Contract,0,35470,0,4,86730,Hostel,0,4.06,0,Urban,yes
115246,3,Single Father,Rent,8628,Other,Contract,0,40282,0,2,113848,DayScholar,2109,0.89,0,Rural,no
529252,4,Both Alive,Rent,8787,Daily Wage,Contract,0,24162,0,2,89902,DayScholar,1080,3.31,0,Rural,yes
946899,2,Single Father,Rent,2811,Agriculture,Permanent,0,1776,1,2,144369,DayScholar,4892,2.17,76578,Rural,yes
493795,1,Single Mother,Own,0,Foreign,Permanent,88085,41563,0,4,136425,Hostel,0,2.54,0,Rural,no
109083,1,Both Alive,Rent,4825,Business,Contract,116446,21178,0,2,111418,Hostel,0,2.88,0,Urban,yes
760991,1,Single Mother,Own,0,Govt Job,Permanent,159387,43715,1,3,109198,Hostel,0,0.11,0,Urban,yes
905430,3,Single Father,Rent,2966,Private Job,Permanent,0,13588,1,2,15910,Hostel,0,1.15,0,Rural,no
533481,4,Single Father,Own,0,Private Job,Permanent,99462,41805,1,2,135488,DayScholar,2437,3.21,0,Urban,yes
216101,3,Both Alive,Own,0,Govt Job,Permanent,0,38089,0,2,105254,Hostel,0,4.52,0,Urban,no
560805,1,Single Mother,Rent,9249,Foreign,Self-employed,0,30721,1,2,31256,DayScholar,2836,1.15,0,Urban,yes
514008,3,Both Alive,Rent,4743,Foreign,Permanent,12765,19505,0,1,148531,Hostel,0,1.19,0,Rural,no
263802,1,Single Father,Rent,6833,Other,Contract,76045,45262,0,2,64110,DayScholar,4099,1.49,0,Rural,no
986944,1,Single Mother,Rent,8853,Other,Permanent,0,21318,0,2,38033,Hostel,0,4.56,0,Urban,no
788628,4,Single Mother,Own,0,Daily Wage,Permanent,0,26833,1,2,146020,DayScholar,500,0.12,0,Rural,yes
151447,3,Both Alive,Own,0,Private Job,Self-employed,125645,21586,0,2,113076,DayScholar,4177,1.45,0,Rural,yes
961512,1,Single Mother,Rent,9949,Govt Job,Permanent,0,15229,0,2,41650,DayScholar,1589,3.03,0,Rural,yes
746480,4,Single Mother,Own,0,Business,Permanent,87482,21460,1,1,28279,Hostel,0,4.01,0,Rural,no
759717,1,Single Father,Own,0,Daily Wage,Self-employed,0,13830,0,1,137320,DayScholar,3358,0.28,0,Urban,no
216330,1,Single Father,Own,0,Agriculture,Permanent,12297,8294,0,4,49548,DayScholar,1165,2.86,26051,Rural,no
844064,4,Single Father,Rent,9824,Agriculture,Contract,131599,7732,0,4,103485,Hostel,0,2.47,83902,Rural,no
740127,4,Single Mother,Own,0,Govt Job,Self-employed,67754,32879,1,3,54820,Hostel,0,1.67,0,Urban,no
81174,3,Single Father,Rent,8448,Business,Self-employed,0,46550,1,1,105304,Hostel,0,1.89,0,Urban,yes
286060,2,Both Alive,Rent,4027,Daily Wage,Contract,0,5160,1,4,119791,DayScholar,2118,3.37,0,Urban,no
854522,1,Both Alive,Own,0,Foreign,Contract,0,1740,0,4,126541,DayScholar,1686,3.35,0,Urban,no
554288,4,Single Father,Own,0,Business,Permanent,54740,24970,1,4,107112,Hostel,0,3.73,0,Rural,yes
68654,2,Both Alive,Rent,6422,Business,Permanent,79640,12492,1,3,148794,Hostel,0,3.3,0,Rural,no
593029,2,Single Mother,Rent,3584,Govt Job,Contract,0,23771,1,3,18643,Hostel,0,4.92,0,Urban,yes
147963,1,Single Father,Own,0,Daily Wage,Contract,45959,9792,0,4,50706,Hostel,0,1.54,0,Rural,no
434414,4,Single Father,Rent,4356,Business,Contract,0,46714,1,1,138749,DayScholar,1294,2.17,0,Urban,yes
943290,1,Single Mother,Rent,5991,Private Job,Contract,0,14551,0,1,64253,DayScholar,579,4.07,0,Rural,no
432875,3,Single Father,Rent,5449,Other,Contract,0,48201,0,1,144938,DayScholar,2867,2.48,0,Rural,yes
68912,3,Single Father,Own,0,Other,Contract,50810,6007,1,4,133781,Hostel,0,0.92,0,Urban,no
117237,4,Both Alive,Rent,6550,Private Job,Contract,81743,44025,0,4,144999,DayScholar,2431,0.6,0,Urban,no
455572,4,Both Alive,Rent,7191,Govt Job,Contract,54626,5419,1,2,48100,DayScholar,3890,4.89,0,Rural,yes
212357,3,Single Father,Own,0,Foreign,Contract,196790,33580,0,2,41957,Hostel,0,4.38,0,Rural,yes
317380,2,Both Alive,Own,0,Private Job,Permanent,0,2293,1,2,97464,Hostel,0,4.2,0,Rural,yes
560537,4,Single Mother,Rent,3499,Agriculture,Self-employed,161830,35937,0,1,128465,Hostel,0,1.82,16641,Rural,no
740035,2,Both Alive,Own,0,Agriculture,Permanent,169931,8625,0,4,80869,DayScholar,1873,1.06,30954,Rural,no
241155,2,Single Mother,Rent,4203,Daily Wage,Self-employed,0,9627,1,4,66742,Hostel,0,0.25,0,Urban,yes
915699,2,Single Mother,Own,0,Daily Wage,Permanent,0,1037,1,2,77485,Hostel,0,1.9,0,Urban,no
476581,3,Single Mother,Own,0,Private Job,Contract,0,39886,0,1,85624,DayScholar,2677,3.41,0,Rural,no
808379,2,Both Alive,Rent,9424,Foreign,Self-employed,72359,10544,0,2,119892,Hostel,0,0.13,0,Urban,no
180025,3,Single Father,Rent,7606,Agriculture,Contract,0,18056,0,1,148291,DayScholar,1423,0.56,85746,Rural,yes
446739,1,Single Mother,Rent,3007,Govt Job,Contract,25264,25129,0,1,61433,DayScholar,2969,2.92,0,Urban,no
624956,4,Single Mother,Rent,5347,Daily Wage,Self-employed,0,44125,0,2,111909,DayScholar,1117,0.23,0,Rural,yes
657484,1,Both Alive,Own,0,Private Job,Self-employed,130752,1624,0,2,74338,Hostel,0,2.08,0,Rural,yes
749901,4,Single Mother,Own,0,Private Job,Permanent,0,36045,0,3,66587,Hostel,0,2.66,0,Rural,no
176209,1,Single Mother,Rent,4144,Other,Self-employed,190994,18835,1,3,59088,Hostel,0,3.19,0,Rural,no
759217,1,Both Alive,Own,0,Business,Permanent,0,49941,1,2,31008,Hostel,0,4.54,0,Urban,yes
899412,2,Both Alive,Own,0,Agriculture,Permanent,130697,19695,0,4,114692,Hostel,0,1.27,45931,Rural,no
793715,2,Both Alive,Rent,9785,Daily Wage,Permanent,186535,30974,0,2,49316,Hostel,0,3.48,0,Urban,no
945673,2,Both Alive,Rent,4632,Business,Self-employed,32093,18126,0,2,52447,DayScholar,593,1.95,0,Rural,no
518012,3,Single Mother,Own,0,Business,Contract,0,24383,1,4,127808,Hostel,0,3.92,0,Urban,yes
556904,4,Single Father,Own,0,Agriculture,Self-employed,0,13014,1,1,97395,Hostel,0,2.23,41165,Rural,yes
61797,3,Both Alive,Own,0,Business,Contract,11860,1241,1,2,100877,DayScholar,4566,3.02,0,Urban,yes
228583,1,Both Alive,Rent,4867,Foreign,Permanent,80463,9600,0,4,144220,Hostel,0,0.97,0,Urban,no
316379,4,Single Father,Rent,7111,Private Job,Self-employed,120916,32813,1,2,144837,Hostel,0,1.24,0,Rural,no
547209,2,Both Alive,Own,0,Private Job,Contract,0,14550,0,3,53599,Hostel,0,3.31,0,Rural,yes
306493,2,Single Mother,Own,0,Private Job,Permanent,62383,43057,0,3,10311,Hostel,0,4,0,Rural,no
218178,3,Both Alive,Own,0,Other,Permanent,103117,2139,0,4,47080,DayScholar,1808,2.17,0,Urban,no
613720,3,Single Father,Own,0,Agriculture,Self-employed,0,37698,1,2,125736,Hostel,0,0.31,79425,Urban,no
333524,4,Both Alive,Own,0,Agriculture,Self-employed,158884,47139,0,2,17561,Hostel,0,1.29,22853,Urban,no
166109,4,Both Alive,Rent,6316,Govt Job,Self-employed,0,9384,0,1,63129,Hostel,0,4.18,0,Rural,yes
977149,2,Single Father,Own,0,Business,Permanent,0,49261,1,1,67599,DayScholar,3318,2.46,0,Urban,no
150765,4,Both Alive,Rent,9478,Daily Wage,Contract,73825,26445,1,3,137977,Hostel,0,4.97,0,Rural,yes
566790,1,Single Father,Rent,3639,Private Job,Self-employed,0,41945,0,1,125902,DayScholar,3213,2.29,0,Urban,yes
184111,3,Both Alive,Rent,9175,Private Job,Contract,121470,37498,1,1,56047,Hostel,0,4.44,0,Rural,yes
138455,4,Both Alive,Rent,8546,Foreign,Self-employed,0,25990,0,3,80969,DayScholar,2717,3.06,0,Urban,no
741112,1,Both Alive,Rent,9612,Business,Contract,111307,40802,1,4,135312,DayScholar,2500,2.16,0,Urban,yes
411889,2,Both Alive,Own,0,Private Job,Permanent,0,35124,0,2,144569,DayScholar,2250,3.98,0,Rural,no
258255,4,Both Alive,Rent,6583,Other,Self-employed,0,16889,1,3,39763,Hostel,0,4.56,0,Rural,yes
293709,4,Single Father,Own,0,Daily Wage,Self-employed,0,28835,0,2,75777,Hostel,0,4.19,0,Rural,no
539727,2,Single Father,Rent,5773,Foreign,Permanent,110388,19170,1,1,66903,Hostel,0,0.13,0,Rural,no
373681,1,Single Father,Rent,7619,Business,Self-employed,128892,41035,1,2,105009,DayScholar,1103,2.08,0,Urban,no
990609,2,Single Father,Own,0,Other,Permanent,0,32797,1,2,49802,DayScholar,2313,3.79,0,Urban,no
391766,3,Single Father,Own,0,Daily Wage,Self-employed,94128,29408,0,1,132180,Hostel,0,2.28,0,Urban,no
641633,4,Single Mother,Own,0,Other,Contract,0,9163,0,3,110350,DayScholar,3421,0.57,0,Rural,no
773643,3,Single Mother,Own,0,Business,Permanent,163437,29311,1,3,73699,Hostel,0,2.64,0,Urban,yes
52942,2,Single Father,Own,0,Foreign,Permanent,0,21404,1,4,65616,Hostel,0,1.39,0,Urban,no
99718,2,Single Father,Rent,8495,Govt Job,Permanent,0,28961,0,3,83882,Hostel,0,2.06,0,Urban,no
432498,3,Single Father,Own,0,Foreign,Contract,144490,21532,0,3,129329,DayScholar,2063,4.54,0,Urban,no
749191,1,Single Mother,Own,0,Govt Job,Permanent,0,41051,0,1,60408,DayScholar,3751,0.68,0,Urban,yes
170903,3,Single Mother,Own,0,Agriculture,Contract,0,24329,1,2,10085,Hostel,0,2.83,45944,Rural,yes
545461,4,Single Father,Rent,7528,Govt Job,Permanent,77803,4014,1,1,43585,DayScholar,2977,3.69,0,Rural,yes
906727,2,Single Mother,Own,0,Other,Self-employed,0,38529,0,4,16091,Hostel,0,1.56,0,Rural,no
235237,4,Single Mother,Own,0,Agriculture,Self-employed,0,23148,0,3,60626,Hostel,0,2.16,51265,Urban,yes
701059,3,Single Mother,Own,0,Private Job,Contract,0,25227,0,3,115263,Hostel,0,0.88,0,Rural,yes
582712,1,Both Alive,Own,0,Govt Job,Permanent,82961,47894,1,4,51841,DayScholar,764,2.61,0,Urban,no
772133,1,Both Alive,Rent,6608,Other,Permanent,25821,17237,1,4,76202,DayScholar,3009,3.29,0,Rural,no
394615,1,Single Mother,Rent,3757,Govt Job,Contract,174516,29358,1,1,44551,Hostel,0,4.81,0,Rural,no
785389,3,Both Alive,Rent,4714,Govt Job,Permanent,0,10210,0,2,70965,Hostel,0,3.66,0,Rural,no
118162,2,Both Alive,Rent,2024,Foreign,Permanent,134441,45451,1,4,124565,Hostel,0,2.79,0,Rural,yes
472990,1,Single Father,Own,0,Business,Contract,0,49023,1,3,22760,DayScholar,2886,2.72,0,Rural,no
923013,3,Single Father,Own,0,Govt Job,Permanent,0,6453,0,1,39614,Hostel,0,0.65,0,Rural,yes
615892,3,Both Alive,Own,0,Other,Permanent,100107,3558,1,1,72350,Hostel,0,1.36,0,Urban,yes
408678,3,Single Mother,Own,0,Agriculture,Contract,0,3168,0,2,88007,DayScholar,2290,4.68,86937,Urban,yes
743865,2,Single Father,Own,0,Govt Job,Contract,0,41848,0,1,141438,DayScholar,834,4.38,0,Urban,no
649236,4,Single Mother,Rent,7605,Daily Wage,Self-employed,38627,4910,0,4,78310,Hostel,0,3.76,0,Urban,no
390578,2,Single Father,Rent,4269,Other,Contract,0,17019,0,2,102937,DayScholar,3139,3.59,0,Rural,no
721736,4,Both Alive,Own,0,Private Job,Contract,0,45020,0,4,29632,DayScholar,4224,1.98,0,Rural,yes
964615,2,Single Mother,Own,0,Other,Permanent,169596,42869,1,2,65117,Hostel,0,3.12,0,Urban,no
573348,2,Single Father,Rent,2756,Business,Permanent,0,39665,0,2,132324,DayScholar,3577,0.94,0,Rural,yes
567070,1,Single Father,Rent,6592,Daily Wage,Self-employed,0,47453,0,3,38120,Hostel,0,0.57,0,Rural,no
703002,3,Single Mother,Rent,8582,Govt Job,Permanent,0,14949,0,1,147900,Hostel,0,2.78,0,Rural,no
591006,2,Both Alive,Own,0,Daily Wage,Contract,138529,25958,0,2,146739,Hostel,0,1.63,0,Urban,yes
252629,2,Single Father,Own,0,Agriculture,Self-employed,35531,36574,1,4,64821,DayScholar,3711,4.62,25155,Rural,no
849544,4,Both Alive,Rent,2367,Private Job,Permanent,53446,10057,0,2,45613,Hostel,0,0.87,0,Rural,yes
673109,4,Single Mother,Own,0,Private Job,Permanent,79626,35028,0,1,68298,DayScholar,3259,1.18,0,Urban,yes
507406,4,Single Mother,Own,0,Govt Job,Contract,106903,5254,0,3,140828,Hostel,0,2.46,0,Rural,no
367789,4,Both Alive,Rent,8450,Govt Job,Self-employed,92318,49290,0,4,54838,DayScholar,2034,2.12,0,Urban,yes
995322,3,Single Mother,Rent,7182,Business,Permanent,25304,46462,1,2,86272,Hostel,0,1.23,0,Urban,yes
974063,2,Single Father,Rent,7481,Private Job,Contract,0,29647,1,2,64058,Hostel,0,0.83,0,Urban,no
486986,1,Single Mother,Own,0,Other,Contract,0,26174,1,3,20331,Hostel,0,2.42,0,Urban,no
611922,1,Single Mother,Own,0,Other,Permanent,56875,15532,0,4,27173,DayScholar,2797,4.97,0,Rural,no
512261,2,Single Mother,Rent,7848,Foreign,Self-employed,49863,40840,1,3,36196,Hostel,0,0.35,0,Rural,yes
57327,2,Both Alive,Own,0,Agriculture,Self-employed,127774,13882,0,3,22886,DayScholar,3303,4.07,22588,Urban,yes
604759,2,Single Father,Own,0,Daily Wage,Self-employed,0,42014,1,1,138911,DayScholar,744,3.6,0,Rural,yes
652361,4,Single Father,Own,0,Foreign,Contract,0,33395,0,4,84748,DayScholar,4941,2.8,0,Urban,no
263776,1,Single Mother,Rent,4281,Private Job,Permanent,144934,19642,0,1,58976,Hostel,0,1.99,0,Rural,no
628214,1,Single Mother,Own,0,Other,Contract,0,48988,0,3,104478,Hostel,0,2.06,0,Urban,no
772656,1,Both Alive,Own,0,Daily Wage,Contract,50986,28122,0,3,143445,Hostel,0,3.28,0,Rural,yes
73725,2,Single Father,Own,0,Foreign,Contract,0,16880,0,4,33591,Hostel,0,2.9,0,Rural,yes
328193,3,Both Alive,Own,0,Private Job,Permanent,0,11299,1,2,133904,DayScholar,4398,0.14,0,Urban,yes
155671,1,Single Mother,Rent,9998,Govt Job,Contract,122639,5275,1,1,27072,DayScholar,2529,3.71,0,Rural,yes
292309,1,Both Alive,Rent,7360,Foreign,Contract,0,44961,1,4,146227,DayScholar,3650,4.99,0,Rural,no
939902,1,Both Alive,Own,0,Private Job,Self-employed,28735,18731,0,4,50658,DayScholar,1104,3.26,0,Urban,no
429174,2,Single Father,Rent,4284,Private Job,Permanent,0,36506,1,1,81890,DayScholar,2889,0.41,0,Rural,no
339866,1,Single Mother,Own,0,Private Job,Permanent,45559,26783,0,1,115884,Hostel,0,3.66,0,Urban,no
821190,4,Both Alive,Own,0,Foreign,Self-employed,111337,22020,1,4,143949,DayScholar,1239,1.18,0,Rural,no
140895,2,Single Father,Own,0,Foreign,Self-employed,0,46829,0,2,46358,DayScholar,1995,1.84,0,Urban,no
587257,1,Both Alive,Own,0,Daily Wage,Permanent,0,34648,0,1,130441,DayScholar,1499,2.69,0,Rural,yes
405939,2,Both Alive,Rent,2191,Foreign,Permanent,0,40994,1,1,77088,Hostel,0,3.64,0,Rural,yes
215192,4,Both Alive,Own,0,Govt Job,Self-employed,53289,27415,0,1,104328,DayScholar,3157,3.43,0,Rural,no
891513,3,Single Father,Own,0,Other,Self-employed,0,34105,1,2,102526,Hostel,0,3.66,0,Rural,no
112385,3,Single Father,Own,0,Agriculture,Contract,87199,95,1,1,73791,Hostel,0,2.23,25715,Rural,yes
919186,3,Both Alive,Own,0,Other,Permanent,0,47450,0,1,121776,DayScholar,4597,4.51,0,Rural,no
700016,3,Single Father,Rent,5003,Foreign,Self-employed,85012,8032,1,1,120122,Hostel,0,3.41,0,Urban,no
135875,3,Single Father,Rent,2202,Govt Job,Contract,165343,15544,1,2,130209,DayScholar,3402,0.52,0,Urban,yes
747230,1,Single Father,Own,0,Agriculture,Contract,18285,11403,0,1,115900,DayScholar,1418,0.27,46830,Rural,no
203051,4,Single Mother,Rent,7408,Agriculture,Permanent,0,21509,1,2,108531,Hostel,0,4.62,73779,Urban,no
772058,1,Both Alive,Own,0,Foreign,Permanent,0,6004,1,4,33447,Hostel,0,4.89,0,Urban,yes
617361,2,Both Alive,Own,0,Govt Job,Contract,0,39501,0,4,117135,Hostel,0,2.55,0,Rural,yes
726463,3,Single Father,Rent,6785,Govt Job,Self-employed,0,22846,1,4,115749,DayScholar,3216,4.34,0,Rural,yes
543947,4,Single Mother,Rent,2037,Agriculture,Contract,197209,18346,1,3,96044,DayScholar,1870,2.37,89063,Urban,yes
792988,3,Both Alive,Rent,4189,Agriculture,Self-employed,80971,28485,1,1,45713,DayScholar,4214,1.69,6865,Rural,no
846745,2,Single Mother,Rent,9356,Other,Self-employed,183015,47557,1,4,109373,DayScholar,2630,1.44,0,Urban,yes
308630,3,Both Alive,Own,0,Other,Permanent,111208,14749,0,1,125925,DayScholar,1811,4.78,0,Urban,yes
367557,4,Single Father,Rent,8514,Daily Wage,Contract,178916,47342,1,2,142582,Hostel,0,1.18,0,Urban,yes
135856,3,Single Mother,Rent,2209,Daily Wage,Contract,0,6927,0,4,139147,Hostel,0,0.84,0,Urban,yes
278578,1,Single Mother,Rent,2713,Daily Wage,Permanent,76793,27983,0,4,94725,DayScholar,1659,2.87,0,Rural,yes
782787,2,Single Father,Rent,8508,Private Job,Permanent,0,12633,0,4,62918,Hostel,0,4.02,0,Rural,yes
354079,4,Single Mother,Own,0,Foreign,Contract,56876,42810,0,1,36949,DayScholar,3351,2.22,0,Urban,yes
643291,4,Single Father,Own,0,Private Job,Permanent,179696,25965,0,4,130100,DayScholar,2885,0.15,0,Urban,no
370719,1,Both Alive,Rent,7045,Daily Wage,Contract,0,9334,0,4,10339,Hostel,0,1.43,0,Rural,no
659894,1,Single Father,Rent,7223,Govt Job,Self-employed,0,39560,1,4,101181,DayScholar,4591,3.09,0,Rural,no
790965,1,Single Father,Own,0,Other,Self-employed,0,12574,1,1,113986,DayScholar,816,1.15,0,Rural,no
960938,1,Single Father,Rent,4569,Foreign,Self-employed,31687,12205,0,2,146950,Hostel,0,2.27,0,Urban,yes
972006,2,Single Father,Rent,6457,Private Job,Self-employed,26823,34557,0,2,45026,Hostel,0,4.64,0,Urban,no
743602,4,Single Mother,Own,0,Govt Job,Self-employed,109596,40992,0,4,132694,DayScholar,4241,0.27,0,Rural,yes
427150,4,Single Father,Rent,6614,Foreign,Contract,0,19840,1,2,23266,DayScholar,4847,2.22,0,Rural,yes
998933,2,Single Father,Rent,3860,Agriculture,Permanent,85095,19373,0,4,141415,Hostel,0,2.33,87859,Urban,no
114970,3,Single Father,Own,0,Other,Permanent,0,14319,1,3,38299,Hostel,0,2.84,0,Rural,yes
229182,4,Both Alive,Own,0,Other,Self-employed,0,14521,0,2,50685,DayScholar,3471,1.98,0,Urban,yes
916791,2,Single Father,Own,0,Agriculture,Contract,0,10019,0,2,93192,Hostel,0,4.5,97380,Urban,yes
442707,2,Single Father,Rent,4638,Agriculture,Self-employed,114639,24185,0,4,37593,DayScholar,2390,2.16,51488,Urban,no
915097,3,Both Alive,Rent,2543,Foreign,Self-employed,141930,49081,0,2,118172,DayScholar,722,1.57,0,Rural,yes
71051,3,Single Mother,Rent,9854,Other,Permanent,15473,20791,0,4,75955,DayScholar,895,0.4,0,Urban,yes
297166,3,Single Father,Rent,6590,Foreign,Permanent,0,40840,0,4,28046,Hostel,0,4.05,0,Rural,yes
845036,1,Single Father,Rent,3567,Agriculture,Self-employed,148619,44619,1,1,147018,DayScholar,4143,2.28,9207,Urban,no
759283,4,Single Mother,Own,0,Private Job,Self-employed,167946,35220,1,2,32283,Hostel,0,0.67,0,Urban,yes
977206,2,Single Mother,Own,0,Govt Job,Self-employed,0,12706,0,3,121322,Hostel,0,0.47,0,Urban,yes
548506,1,Single Mother,Rent,9543,Other,Self-employed,120616,44683,0,4,94397,Hostel,0,1.43,0,Urban,no
